matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,timePlay,winloss,top1,jug1,mid1,adc1,sp1,top2,jug2,mid2,adc2,sp2
NA1_4246867983,2,0,0,0,2336,-1008,1383,731,683,1752,100,Gangplank,Zac,Zed,Ashe,Leona,Jax,Khazix,Ekko,Lucian,Nautilus
NA1_4249810674,1,1,0,1,936,1694,216,1817,2023,925,100,Gnar,Khazix,Vex,Ezreal,Brand,Yorick,Udyr,Yone,Ziggs,Pantheon
NA1_4260329763,0,2,0,1,-846,-1472,-5485,-2755,-339,911,200,Fiora,Rengar,Viktor,Kaisa,Galio,Teemo,Diana,Graves,Zeri,Pyke
NA1_4253638363,0,1,1,0,1312,397,1266,486,874,2800,200,Tryndamere,Ezreal,Varus,LeeSin,Karma,Graves,Volibear,Corki,Jinx,Lux
NA1_4259164367,0,1,0,1,-1981,2913,-114,83,-226,2189,200,Cassiopeia,Nocturne,Xerath,Zeri,Nami,Volibear,Kayn,Akshan,Ezreal,Seraphine
NA1_4246691567,2,0,0,1,101,-1400,1125,974,133,1872,200,Rengar,Volibear,Ekko,Zed,Lissandra,Chogath,MonkeyKing,Yone,Seraphine,Brand
NA1_4252260889,0,0,0,0,-666,30,1108,939,379,1535,100,Irelia,Ekko,Yone,Caitlyn,Leblanc,Cassiopeia,LeeSin,Yasuo,Aphelios,Sona
NA1_4248227233,2,0,1,0,-150,205,-1980,1463,1159,1441,100,Urgot,Shyvana,Vladimir,Zeri,Nautilus,Darius,LeeSin,Akali,Jhin,Thresh
NA1_4242993207,1,0,1,0,165,-250,-2135,1126,632,1620,200,Garen,XinZhao,Fizz,Jhin,Neeko,Jax,Nidalee,Twitch,Samira,Lux
NA1_4242265575,1,0,1,0,-1297,1201,473,1081,1432,2063,100,Quinn,JarvanIV,Caitlyn,Tryndamere,Lux,Yorick,Shyvana,Corki,Jhin,Ziggs
NA1_4248293379,0,2,1,0,1293,834,15,-403,-829,1972,200,Diana,Garen,Qiyana,Jinx,Lulu,Ekko,Viego,Kaisa,Twitch,Yuumi
NA1_4251437938,1,0,0,1,2683,2818,851,411,-675,1659,100,Teemo,Hecarim,Lux,Ashe,Alistar,Urgot,Kayn,Akali,Kaisa,Pyke
NA1_4257876871,1,0,0,0,-595,904,514,-1499,-972,1824,100,Quinn,JarvanIV,Syndra,Caitlyn,Thresh,TahmKench,XinZhao,Vladimir,Samira,Pyke
NA1_4254104785,1,0,0,0,3202,485,-736,1156,1814,958,100,Malphite,Khazix,Corki,Kaisa,RekSai,Teemo,Hecarim,Qiyana,Vayne,Blitzcrank
NA1_4241268586,0,1,0,1,2809,347,3217,1362,94,2517,100,Tryndamere,MasterYi,Ziggs,Samira,Blitzcrank,Graves,Khazix,Malzahar,Soraka,Lux
NA1_4257422775,1,0,0,0,1304,-955,4429,-1363,-75,2067,100,Yorick,Lillia,Yone,Twitch,Morgana,Fiora,Diana,Sylas,Sivir,Soraka
NA1_4251214961,0,2,1,0,1781,1894,-192,-1655,376,1800,100,Aatrox,Evelynn,Veigar,Jhin,Zyra,Graves,DrMundo,Jinx,Samira,Brand
NA1_4250706808,0,1,1,0,-879,949,1239,-1561,-1648,2720,100,Darius,Viego,Katarina,Caitlyn,Anivia,Mordekaiser,Lillia,Pantheon,Jinx,Karma
NA1_4245559268,2,0,0,0,2197,0,-186,1295,1545,1962,200,Tryndamere,Teemo,Galio,Kalista,Pantheon,Camille,MasterYi,Ryze,Vayne,Soraka
NA1_4251207176,2,0,1,0,5294,985,2357,666,742,949,100,Yone,Nidalee,Galio,Caitlyn,Bard,Singed,Trundle,Viktor,Twitch,Ashe
NA1_4257247315,2,0,0,0,1035,-230,299,596,-695,2070,200,Camille,Vi,Vex,Lucian,Nami,Kayle,Amumu,Yasuo,Ezreal,Xerath
